year,month,desktop traffic,mobile traffic,all traffic
2016,01,5002905979.5,3728732794.0,8731638773.5
2016,02,4799353273.0,3334046832.0,8133400105.0
2016,03,4847133241.0,3403268913.5,8250402154.5
2016,04,4860809628.0,3280074563.0,8140884191.0
2016,05,4761155214.0,3406734520.5,8167889734.5
2016,06,4431966079.0,3363704504.0,7795670583.0
2016,07,4850916133.0,3498617441.5,8349533574.5
2016,08,2804361054.5,1997930299.5,4802291354.0
2016,09,4135006498.0,3393285781.0,7528292279.0
2016,10,4361737690.0,3509283891.0,7871021581.0
2016,11,4392068236.0,3591044925.0,7983113161.0
2016,12,4209608578.0,3776543855.0,7986152433.0
2017,01,4521980398.0,4231961542.0,8753941940.0
2017,02,4026702163.0,3711761399.0,7738463562.0
2017,03,4319971902.0,3903493989.0,8223465891.0
2017,04,3951456992.0,3639623119.0,7591080111.0
2017,05,4187870579.0,3686687720.0,7874558299.0
2017,06,3604550997.0,3519383193.0,7123934190.0
2017,07,3565444544.0,3725059253.0,7290503797.0
2017,08,3575572313.0,3621406302.0,7196978615.0
2017,09,3547447892.0,3531604369.0,7079052261.0
2017,10,3907651639.0,3673120542.0,7580772181.0
2017,11,3816060923.0,3670012061.0,7486072984.0
2017,12,3640391096.0,3830136304.0,7470527400.0
2018,01,4111833689.0,4259282371.0,8371116060.0
2018,02,3634653694.0,3725680728.0,7360334422.0
2018,03,3965271925.0,4049874257.0,8015146182.0
2018,04,3762955419.0,3927398111.0,7690353530.0
2018,05,3675652396.0,4089188522.0,7764840918.0
2018,06,3278649434.0,3977766741.0,7256416175.0
2018,07,3457051589.0,4266113752.0,7723165341.0
2018,08,3399130789.0,4187362161.0,7586492950.0
2018,09,3433832231.0,3977120244.0,7410952475.0
2018,10,3640606578.0,4073789753.0,7714396331.0
2018,11,3448616562.0,4033380040.0,7481996602.0
2018,12,3379686909.0,4289054166.0,7668741075.0
2019,01,3616017826.0,4597597181.0,8213615007.0
2019,02,3244921935.0,4018109995.0,7263031930.0
2019,03,3439386600.0,4407290322.0,7846676922.0
2019,04,3330234244.0,4261664166.0,7591898410.0
2019,05,3364959217.0,4413766230.0,7778725447.0
2019,06,2986618238.0,4285985271.0,7272603509.0
2019,07,3140657554.0,4557266440.0,7697923994.0
2019,08,2979881198.0,4531756543.0,7511637741.0
2019,09,3061362632.0,4437958209.0,7499320841.0
2019,10,3588403486.0,4506591862.0,8094995348.0
2019,11,3252465442.0,4471241664.0,7723707106.0
2019,12,3097051994.0,4554269292.0,7651321286.0
2020,01,3440480235.0,4832149630.0,8272629865.0
2020,02,3176520359.0,4418801212.0,7595321571.0
2020,03,3412498274.0,4686270555.0,8098768829.0
2020,04,3798372613.0,5505741941.0,9304114554.0
2020,05,3078093615.0,5231700095.0,8309793710.0
2020,06,2721328557.0,4573975256.0,7295303813.0
2020,07,2638936132.0,4809714465.0,7448650597.0
2020,08,2613058239.0,4803308661.0,7416366900.0
2020,09,2661783500.0,4492250780.0,7154034280.0
